data_type,function,model,score,score_avg,score_fmted
pure_cebab,PLMs,bert-base-uncased,"[(0.7229129662522202, 0.8122633543415627)]","(72.29129662522202, 81.22633543415627)",72.29/81.23
pure_cebab,PLMs,roberta-base,"[(0.7235050325636472, 0.8165393416163826)]","(72.35050325636472, 81.65393416163826)",72.35/81.65
pure_cebab,PLMs,gpt2,"[(0.6690349319123742, 0.7718650445418808)]","(66.90349319123742, 77.18650445418808)",66.90/77.19
pure_cebab,PLMs,lstm,"[(0.4724689165186501, 0.6599219242133207)]","(47.246891651865006, 65.99219242133208)",47.25/65.99
aug_cebab,PLMs,bert-base-uncased,"[(0.7246290801186943, 0.8132647782132251)]","(72.46290801186943, 81.32647782132251)",72.46/81.33
aug_cebab,PLMs,roberta-base,"[(0.7074183976261128, 0.8178892785184273)]","(70.74183976261128, 81.78892785184273)",70.74/81.79
aug_cebab,PLMs,gpt2,"[(0.6528189910979229, 0.764387746345401)]","(65.28189910979229, 76.4387746345401)",65.28/76.44
aug_cebab,PLMs,lstm,"[(0.4326409495548961, 0.6371510052216245)]","(43.26409495548961, 63.71510052216245)",43.26/63.72
pure_cebab,CBE-PLMs,bert-base-uncased,"[(0.7069271758436945, 0.8132352288747187)]","(70.69271758436945, 81.32352288747187)",70.69/81.32
pure_cebab,CBE-PLMs,roberta-base,"[(0.7075192421551214, 0.8173944267545104)]","(70.75192421551215, 81.73944267545103)",70.75/81.74
pure_cebab,CBE-PLMs,gpt2,"[(0.6607460035523979, 0.7787747052767247)]","(66.07460035523978, 77.87747052767247)",66.07/77.88
pure_cebab,CBE-PLMs,lstm,"[(0.39727649496743633, 0.6193316607126571)]","(39.72764949674363, 61.93316607126571)",39.73/61.93
aug_cebab,CBE-PLMs,bert-base-uncased,"[(0.7080118694362018, 0.8109859647287039)]","(70.80118694362018, 81.09859647287038)",70.80/81.10
aug_cebab,CBE-PLMs,roberta-base,"[(0.7175074183976261, 0.8208225015451006)]","(71.75074183976261, 82.08225015451006)",71.75/82.08
aug_cebab,CBE-PLMs,gpt2,"[(0.5804154302670623, 0.7364754777562255)]","(58.041543026706236, 73.64754777562254)",58.04/73.65
aug_cebab,CBE-PLMs,lstm,"[(0.40712166172106823, 0.6075538137996764)]","(40.71216617210682, 60.755381379967645)",40.71/60.76
pure_cebab,CBE-PLMs-CM,bert-base-uncased,"[(0.6181172291296625, 0.7297784478706051), (0.6441681468324453, 0.767470984023681), (0.6962699822380106, 0.8024513733700147), (0.7110716400236826, 0.8113152073159897), (0.7098875074008288, 0.8148789519185259), (0.7217288336293665, 0.8211613819895938), (0.6950858496151568, 0.8052544041403854), (0.7140319715808171, 0.816560879146814), (0.7104795737122558, 0.8149762124367085), (0.7128478389579633, 0.8177686501082311), (0.7075192421551214, 0.8163317892018902), (0.7169923031379515, 0.8202860089572838), (0.6956779159265838, 0.8066580199240271), (0.7110716400236826, 0.815792628281946), (0.7098875074008288, 0.8158107361193835), (0.6939017169923032, 0.8048158963207012), (0.6950858496151568, 0.8092407874530032), (0.7122557726465364, 0.8150842781321815), (0.7021906453522795, 0.8113819812607381), (0.7021906453522795, 0.8091698522097979)]","(69.90230905861458, 80.6309423509075)",69.90/80.63
pure_cebab,CBE-PLMs-CM,roberta-base,"[(0.6583777383066903, 0.76989071976033), (0.6968620485494376, 0.7945623331614132), (0.7146240378922439, 0.8116762012815085), (0.7051509769094139, 0.809639995544732), (0.7329780935464772, 0.830372304571744), (0.7199526346950859, 0.8227056534158695), (0.7110716400236826, 0.8172131871521489), (0.7116637063351096, 0.8151354598808975), (0.7264653641207816, 0.8248046908702452), (0.7199526346950859, 0.820509645899001), (0.7140319715808171, 0.8175296213160903), (0.7394908229721728, 0.831763576520182), (0.7276494967436353, 0.8250218486843149), (0.6962699822380106, 0.7986887650582575), (0.7081113084665482, 0.8102838083996391), (0.7229129662522202, 0.8175436165798203), (0.7246891651865008, 0.8226042694645873), (0.7122557726465364, 0.8167277288653146), (0.6915334517465956, 0.8057192002549025), (0.7152161042036708, 0.8199036344062837)]","(71.24629958555359, 81.41148130543641)",71.25/81.41
pure_cebab,CBE-PLMs-CM,gpt2,"[(0.5085849615156898, 0.6790528153306568), (0.6536412078152753, 0.7743249313200796), (0.6714031971580817, 0.7843161046250046), (0.6785079928952042, 0.785680986061395), (0.6536412078152753, 0.7812787274464529), (0.6459443457667259, 0.7720255178734622), (0.650088809946714, 0.7806167973733853), (0.6637063351095323, 0.7829049907493066), (0.6625222024866785, 0.7831226962730126), (0.6601539372409709, 0.7838759505292018), (0.6755476613380699, 0.7915502709240985), (0.6642984014209592, 0.7855337497217693), (0.6459443457667259, 0.7697700202631061), (0.6779159265837774, 0.7917060192855125), (0.635287152161042, 0.7650473944369045), (0.6672587329780936, 0.785475431006912), (0.6435760805210183, 0.7747133205415843), (0.6595618709295441, 0.7825290304593119), (0.6518650088809946, 0.7761424849246478), (0.6660746003552398, 0.7830962134876023)]","(65.17761989342806, 77.56381726316704)",65.18/77.56
pure_cebab,CBE-PLMs-CM,lstm,"[(0, 0)]","(0.0, 0.0)",0.00/0.00
aug_cebab,CBE-PLMs-CM,bert-base-uncased,"[(0.6724035608308605, 0.7867096315214142), (0.7038575667655786, 0.8056706845279396), (0.7014836795252225, 0.8078606619874691), (0.7050445103857567, 0.8133447470010623), (0.6937685459940652, 0.8027379140221281), (0.687833827893175, 0.8030775373671168), (0.686646884272997, 0.8017045560053357), (0.7062314540059347, 0.8101598925747634), (0.7115727002967359, 0.8152528422293344), (0.7008902077151336, 0.8089906928444573), (0.7068249258160237, 0.813353546433642), (0.7044510385756677, 0.810761046771544), (0.7014836795252225, 0.8115544880707641), (0.7008902077151336, 0.8094221855629424), (0.7056379821958457, 0.8130942232800796), (0.6919881305637983, 0.8047500991452242), (0.7020771513353116, 0.8105154554465906), (0.6997032640949555, 0.8096718731752108), (0.7074183976261128, 0.8122392685475834), (0.6913946587537092, 0.8038241981832043)]","(69.9080118694362, 80.77347772348904)",69.91/80.77
aug_cebab,CBE-PLMs-CM,roberta-base,"[(0.6451038575667656, 0.7627096585696582), (0.7181008902077152, 0.8173896608920925), (0.7210682492581603, 0.8234709984435046), (0.7270029673590505, 0.8251965442100501), (0.7275964391691395, 0.8255746625031097), (0.7210682492581603, 0.8205954230438618), (0.7317507418397626, 0.8267606664494395), (0.7246290801186943, 0.8251264726091602), (0.714540059347181, 0.8191872534041291), (0.7270029673590505, 0.8257088139960793), (0.7181008902077152, 0.8197784429595029), (0.7020771513353116, 0.8090013996551262), (0.7080118694362018, 0.8126637388599143), (0.713946587537092, 0.8177890036888897), (0.7210682492581603, 0.8239974323045667), (0.7186943620178041, 0.8215764188922983), (0.7103857566765579, 0.8141183297658223), (0.7311572700296736, 0.8270362420911989), (0.7246290801186943, 0.82336241083363), (0.7264094955489614, 0.8237959492825124)]","(71.66172106824926, 81.82419761227274)",71.66/81.82
aug_cebab,CBE-PLMs-CM,gpt2,"[(0.3323442136498516, 0.4756348559274935), (0.4106824925816024, 0.5672000411431587), (0.46706231454005936, 0.6700693550962924), (0.5744807121661721, 0.7117475558423516), (0.571513353115727, 0.7296329330189367), (0.5590504451038576, 0.7190697303075867), (0.5572700296735905, 0.7241716943847237), (0.571513353115727, 0.7335228843423744), (0.5798219584569733, 0.7364704827658921), (0.5643916913946587, 0.7245874327740452), (0.5928783382789318, 0.7429846764323982), (0.5744807121661721, 0.7359866106970167), (0.5928783382789318, 0.7408084462404425), (0.571513353115727, 0.7339918036135658), (0.5798219584569733, 0.7405012414307948), (0.5804154302670623, 0.739644651745604), (0.572106824925816, 0.7287365593891677), (0.5655786350148369, 0.7267919731818824), (0.5899109792284867, 0.7431051549670059), (0.5792284866468843, 0.7395690142689345)]","(54.93471810089022, 70.82113548784834)",54.93/70.82
aug_cebab,CBE-PLMs-CM,lstm,"[(0, 0)]","(0.0, 0.0)",0.00/0.00
